name,year,type,link,second_name,sex,id,department
Абакумов Глеб Арсентьевич,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1157.ln-ru,Арсентьевич,m,1,Отделение химии и наук о материалах РАН
Абалкин Леонид Иванович,1987,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2391.ln-ru,Иванович,m,2,
Абелев Гарри Израйлевич,2000,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-1497.ln-ru,Израйлевич,m,3,
Абих Герман Вильгельмович (Васильевич) (Отто Вильгельм Герман),1853,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49278.ln-ru,Вильгельмович,m,4,
Абрикосов Алексей Алексеевич,1987,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-307.ln-ru,Алексеевич,m,5,
Абрикосов Алексей Иванович,1939,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49280.ln-ru,Иванович,m,6,
Авдуевский Всеволод Сергеевич,1979,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-791.ln-ru,Сергеевич,m,7,
Авербах Михаил Иосифович,1939,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49286.ln-ru,Иосифович,m,8,
Аверинцев Сергей Сергеевич,2003,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2587.ln-ru,Сергеевич,m,9,
Аветисов Сергей Эдуардович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62610.ln-ru,Эдуардович,m,10,
Авидзба Анатолий Мканович,2016,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-64186.ln-ru,Мканович,m,11,
Аврорин Евгений Николаевич,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-308.ln-ru,Николаевич,m,12,
Авсюк Григорий Александрович,1984,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49288.ln-ru,Александрович,m,13,
Агаджанян Николай Александрович,2013,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-62611.ln-ru,Александрович,m,14,
Аганбегян Абел Гезевич,1974,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-2395.ln-ru,Гезевич,m,15,Отделение общественных наук РАН
Агеев Михаил Дмитриевич,1992,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-792.ln-ru,Дмитриевич,m,16,
Агеев Николай Владимирович,1968,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49290.ln-ru,Владимирович,m,17,
Агошков Михаил Иванович,1981,академик,http://www.ras.ru/win/db/show_per.asp?P=.id-49291.ln-ru,Иванович,m,18,
